goos: windows
goarch: amd64
pkg: github.com/tensorfoundrylabs/velocity/benchmarks
cpu: AMD Ryzen 9 5950X 16-Core Processor            
BenchmarkLibraries/zap/Parallel_4-32                 	18956971	       126.2 ns/op	     194 B/op	       1 allocs/op
BenchmarkLibraries/zap/Parallel_4-32                 	18954546	       137.1 ns/op	     194 B/op	       1 allocs/op
BenchmarkLibraries/zap/Parallel_16-32                	19922286	       116.2 ns/op	     193 B/op	       1 allocs/op
BenchmarkLibraries/zap/Parallel_16-32                	21007814	       116.4 ns/op	     193 B/op	       1 allocs/op
BenchmarkLibraries/zap/Parallel_16-32                	19250481	       117.1 ns/op	     193 B/op	       1 allocs/op
BenchmarkLibraries/zerolog/Info_NoFields-32          	36039174	        67.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/zerolog/Info_NoFields-32          	37172647	        65.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/zerolog/Info_NoFields-32          	36714200	        64.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/zerolog/Info_ThreeFields-32       	15663219	       154.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/zerolog/Info_ThreeFields-32       	15367522	       155.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/zerolog/Info_ThreeFields-32       	15101528	       155.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/zerolog/With_TwoFields-32         	 5173915	       480.2 ns/op	     625 B/op	       2 allocs/op
BenchmarkLibraries/zerolog/With_TwoFields-32         	 5265963	       502.9 ns/op	     625 B/op	       2 allocs/op
BenchmarkLibraries/zerolog/With_TwoFields-32         	 4643358	       501.0 ns/op	     625 B/op	       2 allocs/op
BenchmarkLibraries/zerolog/Info_TenFields-32         	11446995	       211.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/zerolog/Info_TenFields-32         	10785396	       219.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/zerolog/Info_TenFields-32         	11043921	       217.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/zerolog/Accumulated_10Fields-32   	31241701	        71.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/zerolog/Accumulated_10Fields-32   	34748112	        71.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/zerolog/Accumulated_10Fields-32   	34153831	        72.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/zerolog/MixedFieldTypes-32        	 4555592	       529.5 ns/op	     112 B/op	       2 allocs/op
BenchmarkLibraries/zerolog/MixedFieldTypes-32        	 4606450	       518.8 ns/op	     112 B/op	       2 allocs/op
BenchmarkLibraries/zerolog/MixedFieldTypes-32        	 4634920	       515.8 ns/op	     112 B/op	       2 allocs/op
BenchmarkLibraries/zerolog/ErrorField-32             	26316770	        93.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/zerolog/ErrorField-32             	26425809	        93.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/zerolog/ErrorField-32             	25515356	        93.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/zerolog/LargeMessage-32           	 4584663	       523.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/zerolog/LargeMessage-32           	 4574478	       527.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/zerolog/LargeMessage-32           	 4437867	       531.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/zerolog/Parallel_4-32             	225983422	        10.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/zerolog/Parallel_4-32             	230511655	        10.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/zerolog/Parallel_4-32             	223023039	        10.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/zerolog/Parallel_16-32            	231278776	        10.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/zerolog/Parallel_16-32            	235626674	        10.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/zerolog/Parallel_16-32            	225649206	        10.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/slog/Info_NoFields-32             	 5861346	       406.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/slog/Info_NoFields-32             	 5800585	       415.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/slog/Info_NoFields-32             	 5951456	       419.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/slog/Info_ThreeFields-32          	 2363150	      1025 ns/op	     153 B/op	       4 allocs/op
BenchmarkLibraries/slog/Info_ThreeFields-32          	 2316096	      1041 ns/op	     153 B/op	       4 allocs/op
BenchmarkLibraries/slog/Info_ThreeFields-32          	 2305591	      1037 ns/op	     153 B/op	       4 allocs/op
BenchmarkLibraries/slog/With_TwoFields-32            	 2046997	      1182 ns/op	     513 B/op	      11 allocs/op
BenchmarkLibraries/slog/With_TwoFields-32            	 2002716	      1222 ns/op	     513 B/op	      11 allocs/op
BenchmarkLibraries/slog/With_TwoFields-32            	 1995553	      1211 ns/op	     513 B/op	      11 allocs/op
BenchmarkLibraries/slog/Info_TenFields-32            	 1318846	      1822 ns/op	     701 B/op	      12 allocs/op
BenchmarkLibraries/slog/Info_TenFields-32            	 1307176	      1839 ns/op	     701 B/op	      12 allocs/op
BenchmarkLibraries/slog/Info_TenFields-32            	 1334419	      1795 ns/op	     701 B/op	      12 allocs/op
BenchmarkLibraries/slog/Accumulated_10Fields-32      	 5803212	       413.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/slog/Accumulated_10Fields-32      	 5658340	       422.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/slog/Accumulated_10Fields-32      	 5827998	       416.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/slog/MixedFieldTypes-32           	 1387392	      1740 ns/op	     523 B/op	      10 allocs/op
BenchmarkLibraries/slog/MixedFieldTypes-32           	 1403094	      1708 ns/op	     523 B/op	      10 allocs/op
BenchmarkLibraries/slog/MixedFieldTypes-32           	 1384588	      1721 ns/op	     523 B/op	      10 allocs/op
BenchmarkLibraries/slog/ErrorField-32                	 3927990	       612.8 ns/op	      48 B/op	       1 allocs/op
BenchmarkLibraries/slog/ErrorField-32                	 3851331	       739.1 ns/op	      48 B/op	       1 allocs/op
BenchmarkLibraries/slog/ErrorField-32                	 1849608	      1281 ns/op	      48 B/op	       1 allocs/op
BenchmarkLibraries/slog/LargeMessage-32              	 1000000	      2275 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/slog/LargeMessage-32              	 1206583	      1973 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/slog/LargeMessage-32              	 1231752	      1998 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/slog/Parallel_4-32                	 9763510	       228.7 ns/op	     153 B/op	       4 allocs/op
BenchmarkLibraries/slog/Parallel_4-32                	10678868	       191.5 ns/op	     153 B/op	       4 allocs/op
BenchmarkLibraries/slog/Parallel_4-32                	12482926	       189.9 ns/op	     153 B/op	       4 allocs/op
BenchmarkLibraries/slog/Parallel_16-32               	13349374	       574.6 ns/op	     153 B/op	       4 allocs/op
BenchmarkLibraries/slog/Parallel_16-32               	13131882	       179.4 ns/op	     153 B/op	       4 allocs/op
BenchmarkLibraries/slog/Parallel_16-32               	13677972	       182.9 ns/op	     153 B/op	       4 allocs/op
